Jumlah Subnet: 4
Jumlah Host per Subnet: 62
Blok Subnet: 64
Subnet Mask (Binary): 11111111 11111111 11111111 11000000 

Tabel Subnet:
Subnet		| IP Awal	| IP Akhir	| IP Broadcast
-----------------------------------------------
201.45.222.0 | 201.45.222.1 | 201.45.222.62 | 201.45.222.63
201.45.222.64 | 201.45.222.65 | 201.45.222.126 | 201.45.222.127
201.45.222.128 | 201.45.222.129 | 201.45.222.190 | 201.45.222.191
201.45.222.192 | 201.45.222.193 | 201.45.222.254 | 201.45.222.255
201.45.223.0 | 201.45.223.1 | 201.45.223.62 | 201.45.223.63
201.45.223.64 | 201.45.223.65 | 201.45.223.126 | 201.45.223.127
201.45.223.128 | 201.45.223.129 | 201.45.223.190 | 201.45.223.191
201.45.223.192 | 201.45.223.193 | 201.45.223.254 | 201.45.223.255
201.45.224.0 | 201.45.224.1 | 201.45.224.62 | 201.45.224.63
201.45.224.64 | 201.45.224.65 | 201.45.224.126 | 201.45.224.127
201.45.224.128 | 201.45.224.129 | 201.45.224.190 | 201.45.224.191
201.45.224.192 | 201.45.224.193 | 201.45.224.254 | 201.45.224.255
201.45.225.0 | 201.45.225.1 | 201.45.225.62 | 201.45.225.63
201.45.225.64 | 201.45.225.65 | 201.45.225.126 | 201.45.225.127
201.45.225.128 | 201.45.225.129 | 201.45.225.190 | 201.45.225.191
201.45.225.192 | 201.45.225.193 | 201.45.225.254 | 201.45.225.255
201.45.226.0 | 201.45.226.1 | 201.45.226.62 | 201.45.226.63
201.45.226.64 | 201.45.226.65 | 201.45.226.126 | 201.45.226.127
201.45.226.128 | 201.45.226.129 | 201.45.226.190 | 201.45.226.191
201.45.226.192 | 201.45.226.193 | 201.45.226.254 | 201.45.226.255
201.45.227.0 | 201.45.227.1 | 201.45.227.62 | 201.45.227.63
201.45.227.64 | 201.45.227.65 | 201.45.227.126 | 201.45.227.127
201.45.227.128 | 201.45.227.129 | 201.45.227.190 | 201.45.227.191
201.45.227.192 | 201.45.227.193 | 201.45.227.254 | 201.45.227.255
201.45.228.0 | 201.45.228.1 | 201.45.228.62 | 201.45.228.63
201.45.228.64 | 201.45.228.65 | 201.45.228.126 | 201.45.228.127
201.45.228.128 | 201.45.228.129 | 201.45.228.190 | 201.45.228.191
201.45.228.192 | 201.45.228.193 | 201.45.228.254 | 201.45.228.255
201.45.229.0 | 201.45.229.1 | 201.45.229.62 | 201.45.229.63
201.45.229.64 | 201.45.229.65 | 201.45.229.126 | 201.45.229.127
201.45.229.128 | 201.45.229.129 | 201.45.229.190 | 201.45.229.191
201.45.229.192 | 201.45.229.193 | 201.45.229.254 | 201.45.229.255
201.45.230.0 | 201.45.230.1 | 201.45.230.62 | 201.45.230.63
201.45.230.64 | 201.45.230.65 | 201.45.230.126 | 201.45.230.127
201.45.230.128 | 201.45.230.129 | 201.45.230.190 | 201.45.230.191
201.45.230.192 | 201.45.230.193 | 201.45.230.254 | 201.45.230.255
201.45.231.0 | 201.45.231.1 | 201.45.231.62 | 201.45.231.63
201.45.231.64 | 201.45.231.65 | 201.45.231.126 | 201.45.231.127
201.45.231.128 | 201.45.231.129 | 201.45.231.190 | 201.45.231.191
